t,x,y,z,u,v,w,x_dot,y_dot,z_dot,u_dot,v_dot,w_dot
5.067,-9.810081846645348,1.655413560471446,33.090066232467784,-16.241811533028827,-13.319830677853407,-100.37728591497309,98.41314253813911,61.59838346273665,-104.4810221403933,-38.53593282509664,4.966240681414337,466.33023978654785
3.173,9.92141505442958,7.546922344336542,19.359326280333605,75.06613445116469,-39.23918770702414,202.02333783577018,51.3212073502343,117.4199756853998,23.250633569945926,-221.169466527516,22.640767033009624,-567.0035889142137
4.4335,-17.175154083999114,-14.776318499325342,15.629112005455816,-152.660921484782,-4.061300861066222,-238.45969174000962,-128.67256563804426,-193.6342881017996,212.10739403521026,383.6016583390266,-44.328955497976025,-1.3577233416581294
1.566,-1.5829426371127393,-8.310682195691681,16.996328843050133,70.55909862524082,-2.2298664527812004,121.63405135647734,3.2817030394514006,-6.877631590630731,-32.16877693470771,70.69198888281691,-24.932046587075043,-17.09487046097388
3.0765000000000002,7.767604242555144,-2.429950099748824,22.526777696894307,87.22306772716148,-39.900701403521246,265.86727790787944,-14.752475695878204,84.84447628532129,-78.9470487883143,-32.48412201557357,-7.289850299246472,-693.8181223478718
2.0465,-1.9937989869052892,-11.105013740227957,8.832277974749045,85.30558719048948,-16.07844751285847,80.51509920340663,-5.8065603427372,-11.033123502141123,-1.4118705304274641,12.77698107661142,-33.31504122068387,-51.70833316847188
4.4605,-20.618731477981804,-18.706913440740912,22.969401752254466,-139.89500628595272,-5.438126668707329,-248.39531312060103,-120.7768259135438,-79.57951433442264,324.46032136374856,569.5816166509796,-56.12074032222274,-729.3514713102018
9.6205,-9.362462733805197,-10.897593527276555,34.154504774112574,73.188728685424,-10.971898184841184,126.10747497752776,57.83742075071041,79.49081330477293,10.948495406157477,299.0131814682814,-32.692780581829666,1238.650033522266
6.5435,-7.444344953952996,-0.0858207808507647,22.196769370381237,-61.395335505344065,8.194564505892293,-192.4195209200171,12.189906225678243,-51.30999437926945,-58.55324538312495,63.30027958507452,-0.25746234255229405,561.4171065708704
8.0665,-9.017887252751416,-10.712151616493491,20.294753844403868,-19.82428510341933,4.144626292290067,-75.29860877755262,-36.766928740840086,-62.91751576165881,42.48095543504533,237.22476530408773,-32.13645484948047,350.6571014603483
1.5045,-1.8549502513509326,-7.855621417773338,19.105047566886448,65.79273644016658,-0.737546320046637,120.7613257503469,5.786024775942522,-7.906526513738604,-36.375643423199676,84.289284413845,-23.566864253320013,49.36010174153694
3.6685,3.5182155771826014,7.869405608713564,20.94461320714417,-27.702871120220763,-28.77939217024852,-39.472488074381374,15.809029195088868,45.73235827920873,-28.166734643747162,-137.11878552441573,23.608216826140694,-185.50103959657486
8.4405,-0.9849804439093959,-4.462550128890689,24.83400781298741,66.49461962993371,-6.3945546756916505,153.5795360332071,31.718922780120778,7.738664414804998,-61.829324027970834,44.32838513678561,-13.387650386672066,115.53254307932866
4.3175,-6.771357643880078,5.705947652244307,12.61323334615483,-177.0677771248137,-2.8723550874826853,-340.1027320914962,-52.29472416356984,-107.02289256087519,-72.27272161479516,105.09732792611193,17.117842956732922,1167.6301299547504
