t,x_in,theta_in,v_in,omega_in,v_out,omega_out,a_out,alpha_out
0.098,0.9715549810276355,0.028219375752964956,-0.5730134550901954,0.5638544428276534,-0.5730134550901954,0.5638544428276534,-5.5392641775178655,5.26026343814277
26.532,-0.22090267917231993,0.23469521441693975,0.957435984705989,1.1149718212198167,0.957435984705989,1.1149718212198167,3.63659101747919,-5.8181766483260535
30.248,-0.2491395989799419,-0.3142413763862338,0.6433047108389591,1.4356935286392,0.6433047108389591,1.4356935286392,-1.8493280296880963,4.790991332523208
14.44,-0.5766740977161776,0.12764507642763992,1.4538611843189426,-0.14223061432741346,1.4538611843189426,-0.14223061432741346,4.6262917308848435,-5.837454745189765
16.828,-0.18809081234388839,0.08676989020836064,-2.048920477323614,0.8265572791178082,-2.048920477323614,0.8265572791178082,2.019531006061196,-2.862078129411553
16.578,0.33007957502871665,-0.12913436009124898,-1.8711389707245403,0.5850228162746225,-1.8711389707245403,0.5850228162746225,-3.2238609613949456,4.460308444547791
31.578,0.9443736342670443,0.09055295520855336,-0.7022555050385778,0.9218597375854719,-0.7022555050385778,0.9218597375854719,-4.667746102382465,3.7615108267384967
31.554000000000002,0.9598569802549389,0.0695524267110507,-0.5860305038980173,0.8247830130067736,-0.5860305038980173,0.8247830130067736,-5.00756954802301,4.313702948194031
16.998,-0.4931272864694314,0.16668597042540118,-1.470902485097665,0.02395220214949978,-1.470902485097665,0.02395220214949978,4.441658557944095,-6.007725106200489
37.878,-0.633586449622391,-0.1951701164441489,1.6549066138055535,-1.029144584996767,1.6549066138055535,-1.029144584996767,1.6670506667130813,0.2670856971800545
36.834,-0.3386264870754189,-0.45839684722611984,-0.9648087737451254,-0.6017735230192802,-0.9648087737451254,-0.6017735230192802,-1.690365741778472,5.8568907442138745
6.36,-0.7211963876532019,-0.05573747727655634,1.5377622126216246,-0.8490842441251747,1.5377622126216246,-0.8490842441251747,3.7297874113068676,-3.1774937253445783
22.026,-0.5718359549668284,-0.46783770748018727,0.29292732036926955,1.0839309844916292,0.29292732036926955,1.0839309844916292,-0.8703460289405254,5.200715472174409
1.6460000000000001,-0.6666504327105884,-0.35690688359094486,-1.344710672716655,1.0090328680861544,-1.344710672716655,1.0090328680861544,0.38569691813710805,3.06600432495453
18.55,-0.3627916316200527,0.19435453599943775,1.635665048885697,-0.17186917275454644,1.635665048885697,-0.17186917275454644,3.8960947373559183,-5.717378464891992
23.958000000000002,0.5653761887521379,0.5402681411977444,-0.5363869685160976,-0.4922475422388327,-0.5363869685160976,-0.4922475422388327,0.8379274715771072,-5.764512192901795
27.216,0.8518615648094585,-0.012929486012017415,1.062680946532892,-0.35744770819990224,1.062680946532892,-0.35744770819990224,-5.238769726222717,5.365166569390098
4.8260000000000005,-0.03470611696198603,0.3374987769943199,-1.1749083359577435,-0.7219948476992577,-1.1749083359577435,-0.7219948476992577,3.105457676873856,-6.178631690028099
23.884,0.6072235494339943,0.5607495656747419,-0.589645474712427,-0.06552670923268894,-0.589645474712427,-0.06552670923268894,0.6057944926635085,-5.730186340168937
37.31,-0.8772057423118796,-0.19249118254301983,-0.9485077983271384,1.181846085952007,-0.9485077983271384,1.181846085952007,3.042637487622284,-1.109743425558061
14.496,-0.4882834633418377,0.11084436307990465,1.695818666576287,-0.4485267912987557,1.695818666576287,-0.4485267912987557,3.981731324018891,-5.042453526859084
19.32,0.779789238292154,0.07644279959011087,0.06249277268361983,1.446734396909642,0.06249277268361983,1.446734396909642,-3.75003674443393,2.9899116726991424
16.65,0.18806254457657212,-0.07690088889796855,-2.0583148685162196,0.8447608819673007,-2.0583148685162196,0.8447608819673007,-1.9232749459313656,2.6712452545757053
18.056,-0.6664629111304188,-0.3413668339311778,-0.037132940576063665,1.5146705027598153,-0.037132940576063665,1.5146705027598153,0.12236807918540579,3.1688391809059286
33.832,-0.6782167090589147,-0.29977321380861466,1.4355867705916718,-1.0424608918758584,1.4355867705916718,-1.0424608918758584,0.9019940791535593,2.0351594602434946
4.3420000000000005,0.7379633527002022,0.11132747929581895,-1.517097756038186,0.9812023605489638,-1.517097756038186,0.9812023605489638,-3.1982240508505315,2.0885573817687404
18.058,-0.6665366225512818,-0.33833170706855564,-0.036865597576626066,1.5209597363872307,-0.036865597576626066,1.5209597363872307,0.1440417679492294,3.1201987512692058
27.384,0.9516249395826044,0.008482545186504781,0.11397482032434703,0.6175560023799891,0.11397482032434703,0.6175560023799891,-5.622900287377565,5.53948522434596
